"","site_id","median","mean","min","max","sd","last_year"
"47","CHAT",235,235,200,270,49.5,2013
"48","CHI1",1000,1000,1000,1000,NA,2005
"49","CHI2",10000,10000,10000,10000,NA,2005
"50","CHI3",1000,1000,1000,1000,NA,2005
"51","CHIC",950,950,950,950,NA,2011
"52","CHII",4788,5189.33,4596,6184,866.74,2005
"53","CHIS",2850,2919.43,2302,4340,667.65,1987
"54","CHUN",23706,23706,15418,31994,11721,2010
"55","CLAR",644,644,644,644,NA,2012
"56","CMID",9269,11448.88,5336,27050,6704.98,2018
"57","CNOR",3748,3716.62,1002,6256,1388.1,2017
"58","COCK",31442,31442,31442,31442,NA,2011
"59","COLB",1916,1916,1916,1916,NA,2011
"60","CONE",6051,6051,6000,6102,72.12,2013
"61","CONI",256,256,256,256,NA,1985
"62","CORM",1590,1563.71,1246,1810,224.84,1986
"63","CORN",802,566,0,896,492.42,2005
"64","COTT",92352,82994.27,42560,117552,23303.49,2018
"65","CRUZ",452,452,452,452,NA,2011
"66","CRZE",42408,45174,15888,72336,14176.6,2018
"67","CRZW",294448,331560.97,118340,564762,132343.34,2018
"68","CSOU",34518,38892.92,21520,74178,14576.16,2018
"69","CURZ",27335,27335,25282,29388,2903.38,2011
"70","DALR",73149,73149,35242,111056,53608.59,2015
"71","DARB",974,974,648,1300,461.03,2013
"72","DARW",13223,13223,11608,14838,2283.95,2015
"73","DARX",0,0,0,0,NA,2013
"74","DAVI",17148,17148,16836,17460,441.23,2011
"75","DEEI",0,0,0,0,NA,2010
"76","DENI",27668,27668,27668,27668,NA,2011
"77","DETA",904,890.86,700,1012,112.92,2013
"78","DEVI",23483,23483,17604,29362,8314.16,2008
"79","DOME",322,322,322,322,NA,1985
"80","DOU1",100,100,100,100,NA,2005
"81","DOU2",1000,1000,1000,1000,NA,2005
"82","DOWN",43135,42522.4,24984,71280,13206.4,2013
"83","DREA",20000,15058,3774,21400,9797.27,2008
"84","DUKE",9333,13838.2,4614,32680,8871.98,2018
"85","DURO",1600,1600,1600,1600,NA,1990
"86","DURV",36830,38390,20000,58340,19217.55,2017
"87","DUTH",2,2,2,2,NA,1994
"88","EARL",44720,44720,42142,47298,3645.84,2015
"89","EDEN",92229,92229,90748,93710,2094.45,2011
"90","EDMO",4010,4366.13,2600,6156,1121.45,2022
"91","EDWI",116116,116116,116116,116116,NA,2010
"92","EMPE",1000,916.67,350,1400,529.94,1986
"93","ETNA",452,350.67,50,550,264.96,2015
"94","EVEN",2200,1642,326,2400,1144.07,2013
"95","EVER",423,423,422,424,1.41,2013
"96","FBER",684,684,684,684,NA,2011
"97","FERR",76260,89992,71716,122000,27812.7,2004
"98","FISH",1826,3012.4,1090,8000,2822.6,2023
"99","FITC",0,2000,0,6000,3464.1,2004
"100","FIZK",363,363,226,500,193.75,2013
"101","FLIE",154,154,154,154,NA,2011
"102","FORB",3060,3060,2056,4064,1419.87,2011
"103","FRAE",1960,1988,510,3888,775.27,2011
"104","FRAM",1679,1679,1602,1756,108.89,2011
"105","FRAW",109506,112474.18,82678,188676,31224.28,2011
"106","FRNC",2500,2500,2500,2500,NA,2015
"107","GERD",2172,2172,2172,2172,NA,2011
"108","GERL",239,239,136,342,145.66,2022
"109","GING",1536,1536,400,2672,1606.55,2011
"110","GNEY",24492,24492,24492,24492,NA,2011
"111","GOPT",7852,7553.33,2460,12348,4950.76,2011
"112","GOSL",1000,1000,1000,1000,NA,1955
"113","GOUR",32668,27248.67,600,48478,24394.72,2015
"114","GRAP",37000,43200,32600,60000,14714.62,2004
"115","GREI",0,0,0,0,NA,2013
"116","GULL",68,68,68,68,NA,2015
"117","HANN",2,2,0,4,2.83,1995
"118","HANS",20000,19574,11960,26762,7410.19,2012
"119","HASW",8022,8022,8022,8022,NA,2012
"120","HBAY",42066,42066,42066,42066,NA,2012
"121","HENR",92,92,68,116,33.94,2009
"122","HERO",569301,569301,553876,584726,21814.24,2015
"123","HINO",499,514.33,238,866,290.58,2009
"124","HOLD",1060,1060,870,1250,268.7,2013
